Species,Phylum
Abietinaria sp,Cnidaria
Acanthancora cyanocrypta,Porifera
Acarnus erithacus,Porifera
Aglaophenia sp,Cnidaria
Anthopleura sola,Cnidaria
Anthopleura sp,Cnidaria
Aplidium sp,Tunicata
Archidistoma molli,Tunicata
Archidistoma psammion,Tunicata
Astrangia lajollaensis,Cnidaria
Balanophyllia elegans,Cnidaria
Balanus sp,Crustacea
Barnacle,Crustacea
Boltenia villosa,Tunicata
Bossiella sp,Rhodophyta
Botryocladia pseudodichotoma,Rhodophyta
Botryoglossum farlowianum,Rhodophyta
Bryopsis corticulans,Chlorophyta
Bugula sp,Bryozoa
Calliarthron sp,Rhodophyta
Callophyllis flabellulata,Rhodophyta
Cellaria sp,Bryozoa
Celleporina costazii,Bryozoa
Cladophora graminea,Chlorophyta
Cladophora sp,Chlorophyta
Clavelina huntsmani,Tunicata
Codium fragile,Chlorophyta
Codium setchellii,Chlorophyta
Coeloseira compressa,Rhodophyta
Colpomenia sp,Phaeophyta
Corallina epiphyte,Rhodophyta
Corallina officinalis,Rhodophyta
Corynactis californica,Cnidaria
Crassadoma gigantea,Mollusca
Crepipatella lingulata,Mollusca
Crisia sp,Bryozoa
Cryptopleura sp,Rhodophyta
Cucumaria salma,Echinodermata
Cucumeria fisheri,Echinodermata
Cystodytes lobatus,Tunicata
Cystoseira osmundacea,Phaeophyta
Derbesia marina,Phaeophyta
Desmarestia ligulata,Phaeophyta
Diatoms film,Ochrophyta
Dictyoneurum californicum,Phaeophyta
Dictyopteris undulata,Phaeophyta
Dictyota binghamiae,Phaeophyta
Dictyota flabellata,Phaeophyta
Didemnum carnulentum,Tunicata
Diopatra ornata,Annelida
Diplosoma macdonaldi,Tunicata
Dodecaceria fewkesi,Annelida
Dodecaceria sp,Annelida
Eisenia arborea,Phaeophyta
Encrusting corallines,Rhodophyta
Encrusting red algae,Rhodophyta
Epiactis prolifera,Cnidaria
Erythrophyllum delesserioides,Rhodophyta
Eupentacta quinquesemita,Echinodermata
Eurystomella bilabiata,Bryozoa
Fauchea laciniata,Rhodophyta
Filamentous brown,Phaeophyta
Filamentous green algae,Chlorophyta
Filamentous red algae,Rhodophyta
Gelidium robustum,Rhodophyta
Gelidium sp,Rhodophyta
Giffordia granulosa,Phaeophyta
Gigartina corymbifera,Phaeophyta
Gigartina exasperata,Phaeophyta
Gigartina sp,Phaeophyta
Gold encrusting bryozoan,Bryozoa
Halichondria sp,Porifera
Haliotis rufescens,Mollusca
Haliptylon gracile,Rhodophyta
Hippodiplosia insculpta,Bryozoa
Hydractinia milleri,Cnidaria
Kallymenia pacifica,Rhodophyta
Kelp holdfast,Phaeophyta
Lagenipora sp,Bryozoa
Laminaria setchellii,Phaeophyta
Laminaria sp,Phaeophyta
Laurencia crispa,Rhodophyta
Laurencia pacifica,Rhodophyta
Laurencia sp,Rhodophyta
Leucetta losangelensis,Porifera
Leucilla nuttingi,Porifera
Leucosolenia eleanor,Porifera
Lissothuria nutriens,Echinodermata
Lithothrix aspergillum,Rhodophyta
Macrocystis pyrifera1,Phaeophyta
Macrocystis pyrifera2,Phaeophyta
Membranipora fusca,Bryozoa
Metandrocarpa dura,Tunicata
Microciona parthena,Porifera
Neoptilota densa,Rhodophyta
Nienburgia andersoniana,Rhodophyta
Opuntiella californica,Rhodophyta
Orange encrusting sponge,Porifera
Pachydictyon coriaceum,Phaeophyta
Pachythyone rubra,Echinodermata
Paracyathus stearnsii,Cnidaria
Parchment tube polychaete,Annelida
Phidolopora pacifica,Bryozoa
Pholad clam,Mollusca
Phragmatopoma californica,Annelida
Pikea sp,Rhodophyta
Pink encrusting bryozoan,Bryozoa
Pista elongata,Annelida
Plocamium cartilagineum,Rhodophyta
Plumularia sp,Cnidaria
Polyclinum planum,Tunicata
Polyneura latissima,Rhodophyta
Polysiphonia sp,Rhodophyta
Prionitis lanceolata,Rhodophyta
Pterosiphonia sp,Rhodophyta
Pterygophora californica,Phaeophyta
Pycnoclavella stanleyi,Tunicata
Red algae sp,Rhodophyta
Red turf algae,Rhodophyta
Rhodymenia californica,Rhodophyta
Ritterella aequalisiphonis,Tunicata
Rootbeer brown sponge,Porifera
Rubble/Shell,Unknown
Sabellid polychaete,Annelida
Salmacina tribranchiata,Annelida
Sargassum muticum,Phaeophyta
Schizoporella unicornis,Bryozoa
Serpulid worm,Annelida
Serpulorbis squamiger,Mollusca
Sertularella turgida,Cnidaria
Sertularia sp,Cnidaria
Spheciospongia confoederata,Porifera
Spirobranchus spinosus,Annelida
Strongylocentrotus franciscanus,Echinodermata
Strongylocentrotus purpuratus,Echinodermata
Styela montereyensis,Tunicata
Stylantheca porphyra,Cnidaria
Synoicum sp,Tunicata
Taonia lennebackerae,Phaeophyta
Tethya aurantia,Porifera
Thalamoporella california,Bryozoa
Trididemnum opacum,Tunicata
Ulva sp,Chlorophyta
Unidentified ophiuroid,Echinodermata
Unidentified sp,Unknown
Unknown sponge,Porifera
Unknown tunicate,Tunicata
Urticina sp,Cnidaria
Young laminariales,Phaeophyta
Zonaria farlowii,Phaeophyta
